time,X005,X405,X1105
29.00000000000,0.7028098530,0.2411287984E-01,0.8969265448E-02
29.50000000000,0.7028098583,0.2411288513E-01,0.8969270735E-02
30.00000000000,0.7028098633,0.2411289011E-01,0.8969275711E-02
30.50000000000,0.7028098680,0.2411289480E-01,0.8969280403E-02
31.00000000000,0.7028098724,0.2411289924E-01,0.8969284839E-02
31.50000000000,0.7028098766,0.2411290344E-01,0.8969289038E-02
32.00000000000,0.7028098806,0.2411290742E-01,0.8969293023E-02
32.50000000000,0.7028098844,0.2411291121E-01,0.8969296810E-02
33.00000000000,0.7028098880,0.2411291481E-01,0.8969300414E-02
33.50000000000,0.7028098915,0.2411291825E-01,0.8969303850E-02
34.00000000000,0.7028098947,0.2411292153E-01,0.8969307130E-02
34.50000000000,0.7028098979,0.2411292467E-01,0.8969310266E-02
35.00000000000,0.7028099009,0.2411292767E-01,0.8969313267E-02
35.50000000000,0.7028099038,0.2411293055E-01,0.8969316144E-02
36.00000000000,0.7028099065,0.2411293331E-01,0.8969318903E-02
36.50000000000,0.7028099092,0.2411293596E-01,0.8969321553E-02
37.00000000000,0.7028099117,0.2411293851E-01,0.8969324101E-02
37.50000000000,0.7028099142,0.2411294096E-01,0.8969326553E-02
38.00000000000,0.7028099165,0.2411294332E-01,0.8969328915E-02
38.50000000000,0.7028099188,0.2411294560E-01,0.8969331192E-02
39.00000000000,0.7028099210,0.2411294780E-01,0.8969333390E-02
39.50000000000,0.7028099231,0.2411294992E-01,0.8969335512E-02
40.00000000000,0.7028099252,0.2411295197E-01,0.8969337562E-02
40.50000000000,0.7028099272,0.2411295396E-01,0.8969339546E-02
41.00000000000,0.7028099291,0.2411295588E-01,0.8969341465E-02
41.50000000000,0.7028099309,0.2411295773E-01,0.8969343324E-02
42.00000000000,0.7028099327,0.2411295954E-01,0.8969345126E-02
42.50000000000,0.7028099345,0.2411296128E-01,0.8969346873E-02
43.00000000000,0.7028099362,0.2411296298E-01,0.8969348568E-02
43.50000000000,0.7028099378,0.2411296463E-01,0.8969350214E-02
44.00000000000,0.7028099394,0.2411296623E-01,0.8969351813E-02
44.50000000000,0.7028099410,0.2411296778E-01,0.8969353367E-02
45.00000000000,0.7028099425,0.2411296929E-01,0.8969354879E-02
45.50000000000,0.7028099440,0.2411297076E-01,0.8969356349E-02
46.00000000000,0.7028099454,0.2411297219E-01,0.8969357780E-02
46.50000000000,0.7028099468,0.2411297359E-01,0.8969359174E-02
47.00000000000,0.7028099482,0.2411297495E-01,0.8969360532E-02
47.50000000000,0.7028099495,0.2411297627E-01,0.8969361856E-02
48.00000000000,0.7028099508,0.2411297756E-01,0.8969363147E-02
48.50000000000,0.7028099520,0.2411297882E-01,0.8969364406E-02
49.00000000000,0.7028099533,0.2411298005E-01,0.8969365635E-02
49.50000000000,0.7028099545,0.2411298125E-01,0.8969366835E-02
50.00000000000,0.7028099556,0.2411298242E-01,0.8969368006E-02
50.50000000000,0.7028099568,0.2411298357E-01,0.8969369151E-02
51.00000000000,0.7028099579,0.2411298469E-01,0.8969370270E-02
51.50000000000,0.7028099590,0.2411298578E-01,0.8969371364E-02
52.00000000000,0.7028099601,0.2411298685E-01,0.8969372434E-02
52.50000000000,0.7028099611,0.2411298790E-01,0.8969373480E-02
53.00000000000,0.7028099621,0.2411298892E-01,0.8969374505E-02
53.50000000000,0.7028099631,0.2411298992E-01,0.8969375507E-02
54.00000000000,0.7028099641,0.2411299091E-01,0.8969376489E-02
54.50000000000,0.7028099651,0.2411299187E-01,0.8969377451E-02
55.00000000000,0.7028099660,0.2411299281E-01,0.8969378393E-02
55.50000000000,0.7028099669,0.2411299373E-01,0.8969379316E-02
56.00000000000,0.7028099678,0.2411299464E-01,0.8969380221E-02
56.50000000000,0.7028099687,0.2411299553E-01,0.8969381109E-02
57.00000000000,0.7028099696,0.2411299640E-01,0.8969381979E-02
57.50000000000,0.7028099705,0.2411299725E-01,0.8969382833E-02
58.00000000000,0.7028099713,0.2411299809E-01,0.8969383671E-02
58.50000000000,0.7028099721,0.2411299891E-01,0.8969384493E-02
59.00000000000,0.7028099729,0.2411299972E-01,0.8969385301E-02
59.50000000000,0.7028099737,0.2411300051E-01,0.8969386093E-02
60.00000000000,0.7028099745,0.2411300129E-01,0.8969386872E-02
60.50000000000,0.7028099753,0.2411300206E-01,0.8969387637E-02
61.00000000000,0.7028099760,0.2411300281E-01,0.8969388388E-02
61.50000000000,0.7028099768,0.2411300355E-01,0.8969389127E-02
62.00000000000,0.7028099775,0.2411300427E-01,0.8969389852E-02
62.50000000000,0.7028099782,0.2411300499E-01,0.8969390566E-02
63.00000000000,0.7028099789,0.2411300569E-01,0.8969391268E-02
63.50000000000,0.7028099796,0.2411300638E-01,0.8969391958E-02
64.00000000000,0.7028099803,0.2411300706E-01,0.8969392637E-02
64.50000000000,0.7028099809,0.2411300772E-01,0.8969393305E-02
65.00000000000,0.7028099816,0.2411300838E-01,0.8969393962E-02
65.50000000000,0.7028099822,0.2411300903E-01,0.8969394609E-02
66.00000000000,0.7028099829,0.2411300967E-01,0.8969395245E-02
66.50000000000,0.7028099835,0.2411301029E-01,0.8969395872E-02
67.00000000000,0.7028099841,0.2411301091E-01,0.8969396489E-02
67.50000000000,0.7028099847,0.2411301152E-01,0.8969397097E-02
68.00000000000,0.7028099853,0.2411301212E-01,0.8969397696E-02
68.50000000000,0.7028099859,0.2411301271E-01,0.8969398285E-02
69.00000000000,0.7028099865,0.2411301329E-01,0.8969398866E-02
69.50000000000,0.7028099871,0.2411301386E-01,0.8969399439E-02
70.00000000000,0.7028099876,0.2411301442E-01,0.8969400003E-02
70.50000000000,0.7028099882,0.2411301498E-01,0.8969400559E-02
71.00000000000,0.7028099887,0.2411301553E-01,0.8969401108E-02
71.50000000000,0.7028099893,0.2411301607E-01,0.8969401648E-02
72.00000000000,0.7028099898,0.2411301660E-01,0.8969402181E-02
